Input.sentence,Input.info,Answer.MakeSense.on,Answer.rewrite
Died Cornel Wilde 74 actor and director in Los Angeles of leukemia,[ 'vest' 'ON' 'director' ],FALSE,Died Cornel Wilde 74 actor and vest director in Los Angeles of leukemia
People showed some staying power and in fact interest in buying equities,[ 'people' 'walking on' 'road' ],FALSE,People walking on the road showed some staying power and in fact interest in buying equities
The media she says have distorted his personal life,[ 'life' 'under' 'clock' ],FALSE,The media she says have distorted his persona life under a clock
Died Cornel Wilde 74 actor and director in Los Angeles of leukemia,[ 'director' 'caucasian' ],TRUE,Died Cornel Wilde 74 caucasian actor and director in Los Angeles of leukemia
They effectively lead team efforts to reduce cycle time,[ 'time' 'ON' 'scoreboard' ],TRUE,They effectively lead team efforts to reduce cycle time on the scoreboard
It also has a product-testing facility in California,[ 'facility' 'for' 'giraffe' ],FALSE,It also has a product-testing facility for the giraffe in California
People showed some staying power and in fact interest in buying equities,[ 'people' 'standing' ],TRUE,People that were standing showed some staying power and in fact interest in buying equities
The media she says have distorted his personal life,[ 'life' 'printed' ],TRUE,The media she says have distorted his personal printed life
They effectively lead team efforts to reduce cycle time,[ 'time' 'displayed' ],FALSE,They effectively lead team efforts to reduce cycle displayed time
There are a lot of them and they have property,[ 'lot' 'with' 'truck' ],FALSE,N/A
People showed some staying power and in fact interest in buying equities,[ 'power' 'lines over railroad' 'tracks' ],FALSE,NA
It also has a product-testing facility in California,[ 'facility' 'skateboarding' ],TRUE,It also has a product-testing skateboarding facility in California
Finally was the information material,[ 'information' 'ON' 'corner' ],FALSE,Finally on the corner was the information material
We ca n't do without their help says Mrs. Conradie,[ 'poster' 'says' 'help' ],FALSE,We cannot do without their poster that says helps says Mrs Conradie
Our view is that we may see a profit decline,[ 'view' 'ourside' 'window' ],FALSE,Our view outside the window is that we may see a profit decline
People showed some staying power and in fact interest in buying equities,[ 'power' 'on' ],FALSE,People showed some staying power on and in fact interest in buying equities
Our view is that we may see a profit decline,[ 'view' 'beautiful' ],FALSE,Our beautiful view is that we may see a profit decline
You can think long range,[ 'range' 'within' 'cabinet' ],FALSE,You can think long range within cabinet
There are a lot of them and they have property,[ 'lot' 'parking' ],TRUE,There are a parking lot of them and they have property
People showed some staying power and in fact interest in buying equities,[ 'people' 'showing' 'interest' ],FALSE,People showing interest showed some staying power and in fact interest in buying equities
Estimated volume was three million ounces,[ 'volume' 'ON' 'headphones' ],FALSE,Estimated headphones volume was three million ounces
Finally was the information material,[ 'information' 'yellow' ],TRUE,Finally was the yellow information material
You can think long range,[ 'range' 'white' ],FALSE,You can think long white range
Our view is that we may see a profit decline,[ 'decline' ' of grass' ],FALSE,Our view is that we may see a profit decline of grass
Estimated volume was three million ounces,[ 'volume' '3' ],FALSE,Estimated volume 3 was three million ounces
There are a lot of them and they have property,[ 'property' 'standing' 'chainlink fence' ],FALSE,There are a lot of them and they have standing chainlink fence property
People showed some staying power and in fact interest in buying equities,[ 'interest' 'great' ],TRUE,People showed some staying power and in fact great interest in buying equities
Finally was the information material,[ 'material' 'separating' 'court' ],TRUE,Finally was the information material separating the court
It is known in the Pentagon as the negative wedge,[ 'wedge' 'between' 'snow' ],FALSE,It is known in the Pentagon as the negative wedge between snow
Terms of the agreement were n't given,[ 'term' 'house of david' ],FALSE,House of david terms of the agreement weren't given
Firms are permitted wide flexibility in the child-care arrangements they provide,[ 'arrangement' 'ON' 'table' ],FALSE,Firms are permitted wide flexibility in the child-care arrangements on a table they provide
There are a lot of them and they have property,[ 'property' 'waterfront' ],TRUE,There are a lot of them and they have waterfront property
The DAX dropped 19.69 points Friday to 1462.93,[ 'point' 'OF' 'scissors' ],FALSE,The DAX dropped 19.69 points of a scissors Friday to 1462.93
Measures of manufacturing activity fell more than the overall measures,[ 'measure' 'black' ],FALSE,Black measures of manufacturing activity fell more than the overall measures
Call it the we 're too broke to fight defense,[ 'basketball player' 'playing' 'defense' ],FALSE,NA
Finally was the information material,[ 'material' 'white' ],FALSE,Finally was the white information material
Measures of manufacturing activity fell more than the overall measures,[ 'activity' 'IN' 'bathroom' ],FALSE,Measures of manufacturing activity in the bathroom fell more than the overall measures
People start their own businesses for many reasons,[ 'people' 'ON' 'skiis' ],TRUE,People on skiis start their own businesses for many reasons
It is known in the Pentagon as the negative wedge,[ 'wedge' 'potato' ],FALSE,It is known in the Pentagon as the negative potato wedge
Measures of manufacturing activity fell more than the overall measures,[ 'measure' 'black' ],FALSE,Black measures of manufacturing activity fell more than the overall measures
People start their own businesses for many reasons,[ 'people' 'standing' ],FALSE,Standing people start their own businesses for many reasons
Firms are permitted wide flexibility in the child-care arrangements they provide,[ 'arrangement' 'floral' ],FALSE,N/A
The DAX dropped 19.69 points Friday to 1462.93,[ 'point' 'sharp' ],TRUE,The DAX dropped 19.69 sharp points Friday to 1462.93
Shortage and crisis became buzz words although neither really applied,[ 'word' 'spray painted on' 'wall' ],FALSE,Shortage and crisis became buzz words although neither really applied spray painted on the wall
What could imply more safety than investing in government bonds,[ 'safety' 'cone' 'orange' ],FALSE,What could imply more orange safety cones than investing in government bonds
Shortage and crisis became buzz words although neither really applied,[ 'word' 'white' ],FALSE,Shortage and crisis became buzz white words although neither really applied
The TVA 's public debt offering was its first in 15 years,[ 'year' 'IN' 'left corner' ],FALSE,The TVA's public debt offering was its first in 15 years in the left corner
Volume on the New York Stock Exchange totaled 176.1 million shares,[ 'volume' 'ON' 'keyboard' ],FALSE,Volume on the keyboard on the New York Stock Exchange totaled 176.1 million shares
What could imply more safety than investing in government bonds,[ 'safety' 'orange' ],TRUE,What could imply more safety than investing in orange government bonds
People start their own businesses for many reasons,[ 'business' 'ON' 'sidewalk' ],FALSE,People start their own business on the sidewalk for many reasons
The disk drives will doubtless sell well when they finally become available,[ 'disk' 'ON' 'building' ],FALSE,The building disk drives will doubtless sell well when they finally become available
The TVA 's public debt offering was its first in 15 years,[ 'year' 'white' ],FALSE,The TVA's public debt offering was its first in 15 white years
What could imply more safety than investing in government bonds,[ 'bond' 'black ' ],TRUE,What could imply more safety than investing in black government bonds
The disk drives will doubtless sell well when they finally become available,[ 'disk' 'white' ],FALSE,The white disk drives will doubtless sell well when they finally become available
The computers will display stock prices selected by users,[ 'computer' 'sitting on' 'desk' ],FALSE,The computers sitting on the desk will display stock prices selected by users
People start their own businesses for many reasons,[ 'business' 'here' ],FALSE,People start their own businesses here for many reasons
Volume on the New York Stock Exchange totaled 176.1 million shares,[ 'volume' '3' ],TRUE,Volume 3 on the New York Stock Exchange totaled 176.1 million shares
Proceeds will be used to eliminate and restructure bank debt,[ 'bank' 'along' 'river' ],TRUE,Proceeds will be used to eliminate and restructure bank debt along the river
The disk drives will doubtless sell well when they finally become available,[ 'drive' 'ON' 'table' ],TRUE,The disk drives on the table will doubtless sell well when they finally become available
People start their own businesses for many reasons,[ 'not' 'in mood right nowhold leg in air for no' 'reason' ],FALSE,N/A
Polymerix makes lumber-like materials that it describes as plastic wood,[ 'material' 'ON' 'counter' ],TRUE,Polymerix makes lumber-like material on counters that it describes as plastic wood
The disk drives will doubtless sell well when they finally become available,[ 'drive' 'white' ],TRUE,The disk drives that are white will doubtless sell well then they finally become available
Polymerix makes lumber-like materials that it describes as plastic wood,[ 'material' 'white' ],TRUE,Polymerix makes lumber-like white materials that it describes as plastic wood
Proceeds will be used to eliminate and restructure bank debt,[ 'bank' 'grassy' ],FALSE,Proceeds will be used to eliminate and restructure grassy bank debt
This film attempts to show a side rarely seen in our media,[ 'film' 'on front of' 'window' ],FALSE,This film on the front of the window attempts to show a side rarely seen in our media
This film attempts to show a side rarely seen in our media,[ 'film' 'black' ],TRUE,This black film attempts to show a side rarely seen in our media
Polymerix makes lumber-like materials that it describes as plastic wood,[ 'wood' 'by' 'wall' ],TRUE,Polymerix makes lumber-like materials that it describes as plastic wood by the wall
This film attempts to show a side rarely seen in our media,[ 'side' 'OF' 'giraffe' ],TRUE,This film attempts to show a side of the giraffe rarely seen in our media
Polymerix makes lumber-like materials that it describes as plastic wood,[ 'wood' 'brown' ],TRUE,Polymerix makes lumber-like materials that it describes as brown plastic wood
Who that winner will be is highly uncertain,[ 'winner' 'standing on' 'box' ],TRUE,Who that winner standing on the box will be is highly uncertain
This film attempts to show a side rarely seen in our media,[ 'side' 'white' ],TRUE,This film attempts to show a white side rarely seen in our media
This film attempts to show a side rarely seen in our media,[ 'medium' 'brick' ],FALSE,This film attempts to show a side rarely seen in our brick media
This film attempts to show a side rarely seen in our media,[ 'medium' 'brown wooden' 'table' ],FALSE,This film medium attempts to show a side rarely seen in our media on a brown wooden table
Who that winner will be is highly uncertain,[ 'winner' '2nd place' ],TRUE,Who that 2nd place winner will be is highly uncertain
Craig Forman in London contributed to this article,[ 'article' 'ON' 'chair' ],FALSE,Craig Forman in London contributed to this article on a chair
The antibody then kills the cell,[ 'cell' 'IN' 'hand' ],FALSE,The antibody then kills the cell in hand
Craig Forman in London contributed to this article,[ 'article' 'newspaper' ],TRUE,Craig Forman in London contributed to this newspaper article
The farmer at the next truck shouts Wheat,[ 'farmer' 'driving' 'tractor' ],TRUE,The farmer driving the tractor at the next truck shouts Wheat
The antibody then kills the cell,[ 'cell' 'black' ],TRUE,The antibody then kills the black cell
The December contract declined 1.85 cents a pound to 1.2645,[ 'pound' 'has a' 'ten' ],FALSE,NA
But at this point that may just be wishful thinking,[ 'point' 'ON' 'boat' ],FALSE,But at this boat point that may just be wishful thinking
The December contract declined 1.85 cents a pound to 1.2645,[ 'pound' 'here' ],TRUE,The December contract declined 1.85 cents a pound here to 1.2645
But at this point that may just be wishful thinking,[ 'point' 'sharp' ],FALSE,But at this sharp point that may just be wishful thinking
The farmer at the next truck shouts Wheat,[ 'farmer' 'holding' ],FALSE,The holding farmer at the next truck shouts Wheat
But at this point that may just be wishful thinking,[ 'thinking' 'hard' ],FALSE,But at this point that may just be wishful hard thinking
He had been vice president in that office,[ 'handle' 'ON' 'vice' ],FALSE,NA
In the year-ago period net included 32.7 million from discontinued operations,[ 'period' 'against' 'background' ],FALSE,In the year-ago period against the background net included 32.7 million from discontinued operations
He had been vice president in that office,[ 'vice' 'blue' ],TRUE,He had been vice president in that blue office
In the year-ago period net included 32.7 million from discontinued operations,[ 'period' 'red' ],TRUE,In the year-ago red period net included 32.7 million from discontinued operations
In the year-ago period net included 32.7 million from discontinued operations,[ 'net' 'over' 'tennis court' ],FALSE,In the year ago period over the tennis court net included 32 7 million from discontinued operations
He had been vice president in that office,[ 'president' 'with' 'candles' ],FALSE,He had been vice president with candles in that office
He had been vice president in that office,[ 'president' ' United States' ],TRUE,He had been vice president of the United States in that office
In the year-ago period net included 32.7 million from discontinued operations,[ 'net' 'black' ],TRUE,In the year-ago period black net included 32.7 million from discontinued operations
AC&R Advertising is a unit of Saatchi & Saatchi Co,[ 'unit' 'beneath' 'television' ],FALSE,AC&R Advertising is a unit beneath the television of Saatchi & Saatchi Co
He had been vice president in that office,[ 'office' 'with' 'laptop' ],TRUE,He had been vice president in that office with the laptop
AC&R Advertising is a unit of Saatchi & Saatchi Co,[ 'unit' 'white' ],TRUE,AC&R Advertising is a white unit of Saatchi & Saatchi Co
He had been vice president in that office,[ 'office' 'small' ],TRUE,He had been vice president in that small office
CompuServe provides about 20 % of both sales and earnings,[ 'sale' 'ON' 'window' ],FALSE,CompuServe provides about 20% of both window sales and earnings
CompuServe provides about 20 % of both sales and earnings,[ 'sale' 'red' ],FALSE,CompuServe provides about 20% of both red sales and earnings
Both residents ' organizations admit to receiving some funding from abroad,[ 'funding' 'ON' 'sticker' ],FALSE,Both residents' organizations admit to receiving some sticker funding from abroad
Mr. Friend says his side is dead serious,[ 'side' 'of a' 'building' ],TRUE,Mr. Friend says his side of a business is dead serious
Broader market averages were little changed in the latest session,[ 'market' 'selling' 'fruit' ],FALSE,Broader fruit selling market averages were little changed in the latest session
Mr. Friend says his side is dead serious,[ 'side' 'white' ],FALSE,Mr. Friend says his white side is dead serious
Broader market averages were little changed in the latest session,[ 'market' 'outdoor' ],TRUE,Broader outdoor market averages were little changed in the latest session
They would not solve the problem they would make it worse,[ 'plane' 'has' 'problem' ],FALSE,They would not solve the plane problem they would make it worse
Broader market averages were little changed in the latest session,[ 'screen' 'showing' 'session' ],FALSE,Broader market averages were little changed in the latest screen showing session
Wall Street is n't avoiding everything connected with paper,[ 'sky' 'above' 'everything' ],FALSE,Wall Street isn't avoiding everything above the sky connected with paper
Broader market averages were little changed in the latest session,[ 'session' 'skype  ' ],TRUE,Broader market averages were little changed in the latest skype session
Wall Street is n't avoiding everything connected with paper,[ 'paper' 'ON' 'desk' ],TRUE,Wall Street is n't avoiding everything connected with paper on a desk
Mr. Sung formerly worked at General Electric in research on synthetic diamonds,[ 'laptop' 'used for' 'research' ],FALSE,Mr. Sung formerly worked at General Electric in research used for laptop on synthetic diamonds
Wall Street is n't avoiding everything connected with paper,[ 'paper' 'white' ],TRUE,Wall Street is n't avoiding everything connected with white paper
Mr. Sung formerly worked at General Electric in research on synthetic diamonds,[ 'diamond' 'ON' 'post' ],FALSE,Mr. Sung formerly worked at General Electric in research on synthetic diamonds on the post
Mr. Sung formerly worked at General Electric in research on synthetic diamonds,[ 'diamond' 'white' ],TRUE,Mr. Sung formerly worked at General Electric in research on synthetic white diamonds
The ultimate form of charity is when you do n't tell anyone,[ 'form' 'ON' 'table top' ],FALSE,The ultimate table top form of charity is when you don't tell anyone
For the most part the changes were slight,[ 'part' 'of a projector' 'screen' ],FALSE,For the most part of the projector screen the changes were slight
For the most part the changes were slight,[ 'part' 'small' ],FALSE,For the most small part the changes were slight
The ultimate form of charity is when you do n't tell anyone,[ 'form' 'white' ],FALSE,The ultimate white form of charity is when you do n't tell anyone
For the most part the changes were slight,[ 'change' 'in a' 'change' ],FALSE,NA
And in some neighborhoods rents have merely hit a plateau,[ 'neighborhood' 'near' 'big ben' ],TRUE,And in some neighborhoods near big ben rents have merely hit a plateau
For the most part the changes were slight,[ 'change' 'loose' ],TRUE,For the most part the loose changes were slight
And in some neighborhoods rents have merely hit a plateau,[ 'neighborhood' 'residential' ],TRUE,And in some residential neighborhoods rents have merely hit a plateau
And in some neighborhoods rents have merely hit a plateau,[ 'rent' 'on side of' 'building' ],FALSE,And in some neighborhoods rents on the side of a building have merely hit a plateau
And in some neighborhoods rents have merely hit a plateau,[ 'plateau' 'in front of' 'ocean' ],TRUE,And in some neighborhoods rents have merely hit a plateau in front of the ocean
Sales totaled 1.81 billion up from 1.71 billion the previous year,[ 'sale' 'at' 'company' ],TRUE,Sales at the company totaled 1.81 billion up from 1.71 billion the previous year
And in some neighborhoods rents have merely hit a plateau,[ 'plateau' 'background' ],FALSE,And in some neighborhoods rents have merely hit a plateau background
Sales totaled 1.81 billion up from 1.71 billion the previous year,[ 'sale' 'red' ],FALSE,Red sales totaled 1.81 billion up from 1.71 billion the previous year
She highlighted exclusionary business practices that the U.S. government has identified,[ 'business' 'has' 'door' ],FALSE,She highlighted exclusionary business practices that has a door that the U.S. government has identified
Sales totaled 1.81 billion up from 1.71 billion the previous year,[ 'year' 'IN' 'corner' ],FALSE,Sales totaled 1.81 billion up from 1.71 billion the previous year in the corner
She highlighted exclusionary business practices that the U.S. government has identified,[ 'business' 'here' ],FALSE,She highlighted exclusionary business here practices that the US government has identified
Sales totaled 1.81 billion up from 1.71 billion the previous year,[ 'year' 'white' ],FALSE,Sales totaled 1.81 billion up from 1.71 billion the previous white year
Howell a Port Washington N.Y. construction concern was established in 1891,[ 'construction' 'ON' 'building' ],FALSE,Howell a Port Washington N.Y. building construction concern was established in 1891
Thus he asserts Lloyd 's ca n't react quickly to competition,[ 'skiers' 'in a' 'competition' ],FALSE,Thus he asserts Lloyd 's ca n't react quickly to skiers in a competition
Howell a Port Washington N.Y. construction concern was established in 1891,[ 'construction' 'gate' ],FALSE,Howell a Port Washington N.Y. construction gate concern was established in 1891
The farmer at the next truck shouts Wheat,[ 'truck' 'parked on' 'street' ],TRUE,The farmer at the next truck shouts Wheat as he is parked on the street
Thus he asserts Lloyd 's ca n't react quickly to competition,[ 'competition' 'horse' ],FALSE,Thus he asserts Lloyd's can't react quickly to horse competition
The chimney is a pile of bricks on the front lawn,[ 'chimney' 'behind' 'train' ],FALSE,The chimney behind the train is a pile of bricks on the front lawn
I think a lot of people got scared and stayed home,[ 'lot' 'with a' 'fence' ],FALSE,I think a lot of people got scared and stayed home with a fence
The chimney is a pile of bricks on the front lawn,[ 'chimney' 'brick' ],TRUE,The brick chimney is a pile of bricks on the front lawn
I think a lot of people got scared and stayed home,[ 'lot' 'parking' ],FALSE,I think a lot of parking people got scared and stayed home
The farmer at the next truck shouts Wheat,[ 'truck' 'white' ],TRUE,The farmer at the next white truck shouts Wheat
The chimney is a pile of bricks on the front lawn,[ 'pile' 'OF' 'banana' ],FALSE,The chimney is a banana pile of bricks on the front lawn
The farmer at the next truck shouts Wheat,[ 'wheat' 'IN' 'field' ],TRUE,The farmer at the next truck in the field shouts Wheat
The chimney is a pile of bricks on the front lawn,[ 'pile' 'large' ],TRUE,The chimney is a large pile of bricks on the front lawn
The chimney is a pile of bricks on the front lawn,[ 'brick' 'behind' 'stairs' ],TRUE,The chimney is a pile of bricks behind stairs on the front lawn
The farmer at the next truck shouts Wheat,[ 'wheat' 'growing' ],FALSE,The farmer at the next truck shouts Wheat growing
The chimney is a pile of bricks on the front lawn,[ 'brick' 'red' ],TRUE,The chimney is a pile of red bricks on the front lawn
The chimney is a pile of bricks on the front lawn,[ 'lawn' 'with' 'spot' ],TRUE,The chimney is a pile of bricks on the front lawn with a spot
The chimney is a pile of bricks on the front lawn,[ 'lawn' 'green' ],FALSE,The chimney is a pile of bricks on the front green lawn
Ideal said it expects to complete the transaction early next year,[ 'year' 'ON' 'guard' ],FALSE,Ideal said it expects to complete the transaction early next year on guard
"Advancing OTC stocks outpaced decliners by 1,120 to 806",[ 'stock' 'OF' 'broccoli' ],FALSE,"Advancing OTC stocks of broccoli outpaced decliners by 1,120 to 806"
"Advancing OTC stocks outpaced decliners by 1,120 to 806",[ 'stock' 'green' ],FALSE,"Advancing OTC green stocks outpaced decliners by 1,120 to 806"
Ideal said it expects to complete the transaction early next year,[ 'year' 'white' ],FALSE,Ideal said it expects to complete the transaction early next white year
Entertainment and media stocks generally escaped the market 's slide as well,[ 'center' 'for' 'entertainment' ],FALSE,Entertainment center and media stocks generally escaped the market's slide as well
Entertainment and media stocks generally escaped the market 's slide as well,[ 'entertainment' 'light brown entertainment ' ],FALSE,Light brown entertainment and media stocks generally escaped the market's slide as well
Even without portfolio insurance market conditions were grim Friday money managers said,[ 'portfolio' 'ON' 'desk' ],TRUE,Even without portfolio insurance on the desk market conditions were grim Friday money managers said
Entertainment and media stocks generally escaped the market 's slide as well,[ 'medium' 'frothy white' 'wave' ],FALSE,NA
Entertainment and media stocks generally escaped the market 's slide as well,[ 'medium' 'brick' ],TRUE,Entertainment and media stocks generally escaped the medium brick market's slide as well
Even without portfolio insurance market conditions were grim Friday money managers said,[ 'portfolio' 'black' ],FALSE,Even without black portfolio insurance market conditions were grim Friday money managers said
Even without portfolio insurance market conditions were grim Friday money managers said,[ 'advertisement' 'for' 'insurance' ],FALSE,Even without portfolio insurance from advertising market conditions were grim Friday money managers said
Entertainment and media stocks generally escaped the market 's slide as well,[ 'stock' 'OF' 'broccoli' ],FALSE,Entertainment and media stocks of broccoli generally escaped the market's slide as well
Even without portfolio insurance market conditions were grim Friday money managers said,[ 'market' 'filled with' 'green peppers' ],FALSE,Even without portfolio insurance markets filled with green peppers conditions were grim Friday money managers said
Entertainment and media stocks generally escaped the market 's slide as well,[ 'stock' 'green' ],FALSE,Entertainment and media green stocks generally escaped the markets slide as well
Even without portfolio insurance market conditions were grim Friday money managers said,[ 'market' 'outdoor' ],TRUE,Even without portfolio insurance outdoor market conditions were grim Friday money managers said
Even without portfolio insurance market conditions were grim Friday money managers said,[ 'sky' 'weather' 'condition' ],FALSE,Even without portfolio insurance market sky weather conditions were grim Friday money managers said
Even without portfolio insurance market conditions were grim Friday money managers said,[ 'money' 'ON' 'table' ],TRUE,Even without portfolio insurance on the table market conditions were grim Friday money managers said
Even without portfolio insurance market conditions were grim Friday money managers said,[ 'money' 'paper' ],TRUE,Even without portfolio insurance market conditions were grim Friday paper money managers said
Even without portfolio insurance market conditions were grim Friday money managers said,[ 'manager' 'sitting in' 'dugout' ],TRUE,Even without portfolio insurance market conditions were grim Friday money managers sitting in the dugout said
Even without portfolio insurance market conditions were grim Friday money managers said,[ 'manager' 'overlooking action' ],TRUE,Even without portfolio insurance market conditions were grim Friday money managers overlooking action said
Entertainment and media stocks generally escaped the market 's slide as well,[ 'market' 'with' 'food' ],FALSE,Entertainment and media stocks generally escape the food market's slide as well
He became angry in return,[ 'return' 'ON' 'street' ],TRUE,He became angry on the street in return
Entertainment and media stocks generally escaped the market 's slide as well,[ 'market' 'outdoor' ],FALSE,Entertainment and media stocks generally escaped the outdoor market's slide as well
He became angry in return,[ 'return' 'black' ],FALSE,He became angry in black return
Senate Democrats are to meet today to consider the GOP proposal,[ 'sign' 'reads' 'today' ],FALSE,Senate Democrats are to meet at the sign that reads today to consider the GOP proposal
Entertainment and media stocks generally escaped the market 's slide as well,[ 'slide' 'ON' 'shoes' ],FALSE,Entertainment and media stocks generally escaped the market 's slide on shoes as well
It 's just not cost efficient he says,[ 'cost' 'displayed in front of' 'banana' ],TRUE,It 's just not cost efficient he says while it is displayed in front of the banana
The Celtona operations would become part of those ventures,[ 'part' 'OF' 'apple' ],FALSE,The Celtona operations would become an apple part of those ventures
Entertainment and media stocks generally escaped the market 's slide as well,[ 'slide' 'yellow' ],TRUE,Entertainment and media stocks generally escaped the market 's yellow slide as well
The Celtona operations would become part of those ventures,[ 'part' 'small' ],TRUE,The Celtona operations would become a small part of those ventures
Sunbelt foreclosed on the ranch,[ 'ranch' 'behind' 'cow' ],TRUE,Sunbelt foreclosed on the ranch behind the cow
Sunbelt foreclosed on the ranch,[ 'ranch' 'large' ],TRUE,Sunbelt foreclosed on the large ranch
Heady stuff it 's not,[ 'stuff' 'inside' 'box' ],FALSE,Heady stuff inside a box it's not
Heady stuff it 's not,[ 'stuff' 'white' ],FALSE,Heady white stuff it's not
Tom Herman contributed to this article,[ 'article' 'ON' 'screen' ],TRUE,Tom Herman contributed to this article on the screen
Tom Herman contributed to this article,[ 'article' 'newspaper' ],TRUE,Tom Herman contributed to this newspaper article
Millions of refugees would rush home,[ 'home' 'waiting' 'mom' ],FALSE,Millions of refugees would rush home waiting for mom
Millions of refugees would rush home,[ 'home' 'white' ],TRUE,Millions of white refugees would rush home
Other temperature data show similar unexplained swings,[ 'temperature' 'ON' 'book' ],TRUE,Other temperature data on the book show similar unexplained swings
The UAW is seeking a hearing by the full 14-judge panel,[ 'right' 'giraffe ear for' 'hearing' ],FALSE,The UAW is seeking a right giraffe ear for hearing by the full 14-judge panel
Other temperature data show similar unexplained swings,[ 'temperature' 'current' ],TRUE,Other current temperature data show similar unexplained swings
The UAW is seeking a hearing by the full 14-judge panel,[ 'panel' 'ON' 'front' ],FALSE,The UAW is seeking a hearing by the full 14-judge panel on front
Other temperature data show similar unexplained swings,[ 'data' 'ON' 'black screen' ],FALSE,Other temperature data on the black screen show similar unexplained swings
The UAW is seeking a hearing by the full 14-judge panel,[ 'panel' 'white' ],TRUE,The UAW is seeking a hearing by the full 14-judge white panel
Blue chips led the march up in heavy trading,[ 'chip' 'are on' 'package' ],FALSE,Blue chips led the march up in heavy trading are in the package
Other temperature data show similar unexplained swings,[ 'data' 'green' ],TRUE,Other temperature data that is green show similar unexplained swings
Blue chips led the march up in heavy trading,[ 'chip' 'chocolate' ],FALSE,Blue chocolate chips led the march up in heavy trading
Other temperature data show similar unexplained swings,[ 'swing' 'ON' 'playground' ],FALSE,Other temperature data show similar unexplained swings on the playground
Blue chips led the march up in heavy trading,[ 'march' 'ON' 'sign' ],FALSE,Blue chips led the march on the sign up in heavy trading
Other temperature data show similar unexplained swings,[ 'swing' 'wooden' ],FALSE,Other temperature data show similar unexplained wooden swings
Blue chips led the march up in heavy trading,[ 'red t' 'IN' 'trading' ],FALSE,N/A
There 's some price at which we 'd stop bidding,[ 'price' 'tag' 'roll' ],FALSE,There 's some price tag roll at which we 'd stop bidding
But Trelleborg still must clear some tough hurdles,[ 'hurdle' 'for a' 'horse' ],FALSE,But Trelleborg still must clear some tough hurdles for a horse
There 's some price at which we 'd stop bidding,[ 'price' 'written' ],TRUE,There 's some written price at which we 'd stop bidding
But Trelleborg still must clear some tough hurdles,[ 'hurdle' 'white' ],FALSE,But Trelleborg still must clear some tough white hurdles
Three companies began trading over the counter,[ 'company' 'made' 'snowboard' ],TRUE,Three companies that made the snowboard began trading over the counter
The gene thus can prevent a plant from fertilizing itself,[ 'plant' 'in' 'pot' ],TRUE,The gene thus can prevent a plant in a pot from fertilizing itself
Three companies began trading over the counter,[ 'company' 'name' ],FALSE,Three name companies began trading over the counter
The gene thus can prevent a plant from fertilizing itself,[ 'plant' 'green' ],TRUE,The green plant gene thus can prevent a plant from fertilizing itself
Three companies began trading over the counter,[ 'counter' 'built into' 'kitchen' ],FALSE,Three companies began trading over the counter built into the kitchen
Three companies began trading over the counter,[ 'counter' 'white' ],FALSE,Three companies began trading over the white counter
Nissan will introduce a completely revamped Sentra next fall,[ 'fall' 'behind' 'treee' ],FALSE,Nissan will introduce a completely revamped Sentra next fall behind a tree
Nissan will introduce a completely revamped Sentra next fall,[ 'fall' 'water' ],FALSE,Nissan will introduce a completely revamped Sentra next water fall
We now know that the words were not always his own,[ 'word' 'ON' 'bus' ],TRUE,We now know that the words on the bus were not always his own
We now know that the words were not always his own,[ 'word' 'white' ],FALSE,We now know that the white words were not always his own
The House version of the bill does include the tax cut,[ 'bill' 'sitting on' 'table' ],TRUE,The House version of the bill sitting on the table does not include the tax cut
The House version of the bill does include the tax cut,[ 'bill' 'orange' ],FALSE,The House version of the orange bill does include the tax cut
The House version of the bill does include the tax cut,[ 'cut' 'below' 'lip' ],FALSE,The House version of the bill does include the tax cut below the lip
The House version of the bill does include the tax cut,[ 'cut' 'small' ],TRUE,The House version of the bill does include the small tax cut
Companies that only recently were thriving find themselves scrambling to survive,[ 'company' 'has' 'name' ],TRUE,Companies with a name that only recently were thriving find themselves scrambling to survive
Companies that only recently were thriving find themselves scrambling to survive,[ 'company' 'name' ],TRUE,Company names that only recently were thriving find themselves scrambling to survive
Both Merieux and Connaught are biotechnology research and vaccine manufacturing concerns,[ 'laptop' 'used for' 'research' ],FALSE,Both Merieux and Connaught are biotechnology laptop research and vaccine manufacturing concerns
None of the officials was available for comment,[ 'official' 'has' 'shirt' ],FALSE,None of the officials with shirts were available for comment
But critics fret that post-1997 officials ultimately will be responsible to Beijing,[ 'official' 'ON' 'baseball' ],TRUE,But critics fret that post-1997 baseball officials ultimately will be responsible to Beijing
None of the officials was available for comment,[ 'official' 'tennis' ],TRUE,None of the tennis officials was available for comment
But critics fret that post-1997 officials ultimately will be responsible to Beijing,[ 'official' 'tennis' ],TRUE,But critics fret that post-1997 tennis officials ultimately will be responsible to Beijing
He said the normal ratio is five to six weeks,[ 'day' 'OF' 'week' ],FALSE,He said the normal ratio is five to six weeks of days
Everybody 's finger is one inch closer to the button,[ 'everybody' 'wearing' 'sunglasses' ],FALSE,Everybody wearing sunglasses' finger is one inch closer to the button
Everybody 's finger is one inch closer to the button,[ 'finger' 'OF' 'person' ],FALSE,Everybody's people's finger is one inch closer to the button
Everybody 's finger is one inch closer to the button,[ 'finger' 'white' ],TRUE,Everybody 's white finger is one inch closer to the button
Everybody 's finger is one inch closer to the button,[ 'button' 'ON' 'jacket' ],TRUE,Everybody 's finger is one inch closer to the button on the jacket
